iter	Passed	Remaining
1473	95919	66765
1474	95982	66699
1475	96044	66632
1476	96108	66566
1477	96165	66496
1478	96226	66428
1479	96292	66363
1480	96352	66295
1481	96423	66233
1482	96488	66168
1483	96550	66102
1484	96615	66036
1485	96680	65971
1486	96741	65904
1487	96802	65836
1488	96863	65768
1489	96924	65700
1490	96987	65634
1491	97052	65568
1492	97110	65499
1493	97170	65430
1494	97229	65361
1495	97287	65291
1496	97345	65222
1497	97407	65154
1498	97463	65084
1499	97523	65015
1500	97590	64951
1501	97657	64888
1502	97722	64823
1503	97784	64755
1504	97843	64687
1505	97903	64618
1506	97962	64549
1507	98021	64481
1508	98087	64416
1509	98156	64354
1510	98249	64307
1511	98334	64255
1512	98411	64198
1513	98471	64130
1514	98532	64062
1515	98593	63994
1516	98664	63933
1517	98723	63864
1518	98783	63796
1519	98840	63726
1520	98911	63664
1521	98974	63598
1522	99041	63534
1523	99102	63467
1524	99169	63403
1525	99229	63335
1526	99291	63268
1527	99352	63200
1528	99414	63133
1529	99477	63067
1530	99540	63001
1531	99602	62934
1532	99663	62866
1533	99722	62797
1534	99780	62728
1535	99839	62659
1536	99904	62594
1537	99985	62539
1538	100057	62479
1539	100122	62414
1540	100184	62347
1541	100245	62279
1542	100303	62209
1543	100361	62141
1544	100431	62079
1545	100488	62008
1546	100543	61937
1547	100600	61867
1548	100669	61805
1549	100727	61736
1550	100763	61653
1551	100820	61583
1552	100878	61514
1553	100933	61443
1554	100988	61372
1555	101055	61309
1556	101120	61243
1557	101178	61174
1558	101247	61112
1559	101309	61045
1560	101367	60976
1561	101425	60907
1562	101486	60839
1563	101559	60779
1564	101624	60714
1565	101687	60648
1566	101747	60581
1567	101806	60512
1568	101866	60444
1569	101926	60376
1570	101986	60308
1571	102048	60242
1572	102107	60174
1573	102174	60110
1574	102236	60043
1575	102299	59977
1576	102357	59908
1577	102422	59843
1578	102481	59775
1579	102547	59711
1580	102610	59645
1581	102672	59578
1582	102732	59510
1583	102790	59442
1584	102853	59376
1585	102911	59307
1586	102973	59240
1587	103033	59173
1588	103096	59107
1589	103161	59042
1590	103224	58976
1591	103288	58910
1592	103347	58842
1593	103413	58778
1594	103474	58711
1595	103538	58645
1596	103602	58580
1597	103664	58514
1598	103725	58446
1599	103785	58379
1600	103844	58311
1601	103902	58242
1602	103960	58174
1603	104021	58106
1604	104082	58039
1605	104142	57972
1606	104203	57905
1607	104262	57837
1608	104320	57768
1609	104379	57700
1610	104440	57633
1611	104508	57570
1612	104571	57504
1613	104635	57439
1614	104693	57370
1615	104755	57304
1616	104817	57237
1617	104879	57171
1618	104937	57103
1619	104997	57035
1620	105059	56969
1621	105117	56900
1622	105178	56834
1623	105238	56766
1624	105303	56701
1625	105365	56635
1626	105427	56569
1627	105487	56501
1628	105545	56433
1629	105606	56366
1630	105666	56299
1631	105728	56232
1632	105790	56167
1633	105850	56099
1634	105911	56032
1635	105974	55967
1636	106030	55897
1637	106090	55830
1638	106150	55762
1639	106213	55697
1640	106280	55633
1641	106341	55567
1642	106401	55499
1643	106463	55433
1644	106521	55365
1645	106579	55297
1646	106639	55229
1647	106701	55163
1648	106762	55096
1649	106822	55029
1650	106884	54963
1651	106945	54896
1652	107003	54828
1653	107062	54761
1654	107127	54696
1655	107188	54630
1656	107254	54565
1657	107310	54496
1658	107371	54430
1659	107438	54366
1660	107499	54299
